x,y,z,pressure
0.22478999,0.036965817,0.131,52620.848
0.22225,0.035435066,0.131,52644.18
0.21971001,0.033904314,0.131,52668.34
0.21717,0.032373562,0.131,52691.844
0.21463001,0.030842811,0.131,52712.973
0.21209,0.029312057,0.131,52729.656
0.20954999,0.027781306,0.131,52740.168
0.20701,0.026250554,0.131,52743.488
0.20446999,0.024719801,0.131,52739.082
0.20193,0.023189049,0.131,52726.34
0.19938999,0.021658298,0.131,52705.625
0.19685,0.020128164,0.131,52677.0
0.19431001,0.018698405,0.131,52642.902
0.19177,0.017455135,0.131,52606.086
0.18923,0.016374029,0.131,52566.895
0.18669,0.01543394,0.131,52526.414
0.18415,0.014616469,0.131,52484.305
0.18161,0.013905625,0.131,52441.148
0.17907001,0.0132875,0.131,52396.957
0.17653,0.01275,0.131,52352.25
0.25272998,0.055334844,0.131,52563.945
0.25018999,0.053804092,0.131,52557.246
0.24765,0.052273341,0.131,52551.289
0.24510999,0.050742589,0.131,52546.391
0.24257,0.049211837,0.131,52543.25
0.24002999,0.047681086,0.131,52542.418
0.23749,0.046150334,0.131,52544.434
0.23495001,0.044619579,0.131,52549.734
0.23241,0.043088827,0.131,52558.719
0.22986999,0.041558076,0.131,52571.66
0.22733,0.040027324,0.131,52588.562
0.22478999,0.038496573,0.131,52608.93
0.22225,0.036965817,0.131,52631.914
0.21971001,0.035435066,0.131,52656.32
0.21717,0.033904314,0.131,52680.832
0.21463001,0.032373562,0.131,52703.672
0.21209,0.030842811,0.131,52722.883
0.20954999,0.029312057,0.131,52736.441
0.20701,0.027781306,0.131,52743.246
0.20446999,0.026250554,0.131,52741.98
0.20193,0.024719801,0.131,52732.781
0.19938999,0.023189049,0.131,52714.648
0.19685,0.021658298,0.131,52688.531
0.19431001,0.020128164,0.131,52655.062
0.19177,0.018698405,0.131,52617.02
0.18923,0.017455135,0.131,52576.996
0.18669,0.016374029,0.131,52534.957
0.18415,0.01543394,0.131,52491.84
0.18161,0.014616469,0.131,52447.336
0.17907001,0.013905625,0.131,52402.156
0.17653,0.0132875,0.131,52356.414
0.17399001,0.01275,0.131,52310.648
0.25272998,0.056865599,0.131,52564.719
0.25018999,0.055334844,0.131,52557.684
0.24765,0.053804092,0.131,52551.242
0.24510999,0.052273341,0.131,52545.688
0.24257,0.050742589,0.131,52541.672
0.24002999,0.049211837,0.131,52539.711
0.23749,0.047681086,0.131,52540.336
0.23495001,0.046150334,0.131,52544.035
0.23241,0.044619579,0.131,52551.293
0.22986999,0.043088827,0.131,52562.539
0.22733,0.041558076,0.131,52577.914
0.22478999,0.040027324,0.131,52597.148
0.22225,0.038496573,0.131,52619.477
0.21971001,0.036965817,0.131,52643.906
0.21717,0.035435066,0.131,52669.082
0.21463001,0.033904314,0.131,52693.402
0.21209,0.032373562,0.131,52714.824
0.20954999,0.030842811,0.131,52731.414
0.20701,0.029312057,0.131,52741.32
0.20446999,0.027781306,0.131,52743.973
0.20193,0.026250554,0.131,52737.938
0.19938999,0.024719801,0.131,52723.211
0.19685,0.023189049,0.131,52699.402
0.19431001,0.021658298,0.131,52668.07
0.19177,0.020128164,0.131,52630.176
0.18923,0.018698405,0.131,52588.508
0.18669,0.017455135,0.131,52545.387
0.18415,0.016374029,0.131,52500.52
0.18161,0.01543394,0.131,52454.844
0.17907001,0.014616469,0.131,52408.188
0.17653,0.013905625,0.131,52361.359
0.17399001,0.0132875,0.131,52314.512
0.17144999,0.01275,0.131,52268.168
0.25272998,0.058396351,0.131,52565.75
0.25018999,0.056865599,0.131,52558.398
0.24765,0.055334844,0.131,52551.508
0.24510999,0.053804092,0.131,52545.328
0.24257,0.052273341,0.131,52540.492
0.24002999,0.050742589,0.131,52537.465
0.23749,0.049211837,0.131,52536.77
0.23495001,0.047681086,0.131,52538.906
0.23241,0.046150334,0.131,52544.445
0.22986999,0.044619579,0.131,52553.922
0.22733,0.043088827,0.131,52567.672
0.22478999,0.041558076,0.131,52585.551
0.22225,0.040027324,0.131,52607.023
0.21971001,0.038496573,0.131,52631.16
0.21717,0.036965817,0.131,52656.773
0.21463001,0.035435066,0.131,52682.227
0.21209,0.033904314,0.131,52705.664
0.20954999,0.032373562,0.131,52724.918
0.20701,0.030842811,0.131,52738.301
0.20446999,0.029312057,0.131,52744.398
0.20193,0.027781306,0.131,52742.195
0.19938999,0.026250554,0.131,52730.668
0.19685,0.024719801,0.131,52710.062
0.19431001,0.023189049,0.131,52680.625
0.19177,0.021658298,0.131,52644.449
0.18923,0.020128164,0.131,52602.469
0.18669,0.018698405,0.131,52557.344
0.18415,0.017455135,0.131,52511.148
0.18161,0.016374029,0.131,52463.523
0.17907001,0.01543394,0.131,52415.523
0.17653,0.014616469,0.131,52367.117
0.17399001,0.013905625,0.131,52319.117
0.17144999,0.0132875,0.131,52271.668
0.16891,0.01275,0.131,52225.23
0.25272998,0.059927102,0.131,52566.973
0.25018999,0.058396351,0.131,52559.336
0.24765,0.056865599,0.131,52552.016
0.24510999,0.055334844,0.131,52545.25
0.24257,0.053804092,0.131,52539.633
0.24002999,0.052273341,0.131,52535.613
0.23749,0.050742589,0.131,52533.668
0.23495001,0.049211837,0.131,52534.305
0.23241,0.047681086,0.131,52538.145
0.22986999,0.046150334,0.131,52545.844
0.22733,0.044619579,0.131,52557.859
0.22478999,0.043088827,0.131,52574.254
0.22225,0.041558076,0.131,52594.625
0.21971001,0.040027324,0.131,52618.246
0.21717,0.038496573,0.131,52643.98
0.21463001,0.036965817,0.131,52670.34
0.21209,0.035435066,0.131,52695.426
0.20954999,0.033904314,0.131,52717.254
0.20701,0.032373562,0.131,52733.758
0.20446999,0.030842811,0.131,52743.363
0.20193,0.029312057,0.131,52744.926
0.19938999,0.027781306,0.131,52737.355
0.19685,0.026250554,0.131,52719.824
0.19431001,0.024719801,0.131,52693.238
0.19177,0.023189049,0.131,52658.465
0.18923,0.021658298,0.131,52617.793
0.18669,0.020128164,0.131,52571.93
0.18415,0.018698405,0.131,52523.398
0.18161,0.017455135,0.131,52474.18
0.17907001,0.016374029,0.131,52424.031
0.17653,0.01543394,0.131,52374.129
0.17399001,0.014616469,0.131,52324.488
0.17144999,0.013905625,0.131,52275.852
0.16891,0.0132875,0.131,52228.32
0.16636999,0.01275,0.131,52182.254
0.25272998,0.061457854,0.131,52568.332
0.25018999,0.059927102,0.131,52560.426
0.24765,0.058396351,0.131,52552.711
0.24510999,0.056865599,0.131,52545.387
0.24257,0.055334844,0.131,52539.043
0.24002999,0.053804092,0.131,52534.082
0.23749,0.052273341,0.131,52530.969
0.23495001,0.050742589,0.131,52530.18
0.23241,0.049211837,0.131,52532.375
0.22986999,0.047681086,0.131,52538.289
0.22733,0.046150334,0.131,52548.531
0.22478999,0.044619579,0.131,52563.301
0.22225,0.043088827,0.131,52582.402
0.21971001,0.041558076,0.131,52605.246
0.21717,0.040027324,0.131,52630.879
0.21463001,0.038496573,0.131,52657.82
0.21209,0.036965817,0.131,52684.34
0.20954999,0.035435066,0.131,52708.375
0.20701,0.033904314,0.131,52727.926
0.20446999,0.032373562,0.131,52741.203
0.20193,0.030842811,0.131,52746.672
0.19938999,0.029312057,0.131,52742.746
0.19685,0.027781306,0.131,52728.984
0.19431001,0.026250554,0.131,52705.172
0.19177,0.024719801,0.131,52672.812
0.18923,0.023189049,0.131,52633.027
0.18669,0.021658298,0.131,52588.07
0.18415,0.020128164,0.131,52538.398
0.18161,0.018698405,0.131,52486.512
0.17907001,0.017455135,0.131,52434.508
0.17653,0.016374029,0.131,52382.297
0.17399001,0.01543394,0.131,52331.043
0.17144999,0.014616469,0.131,52280.746
0.16891,0.013905625,0.131,52232.02
0.16636999,0.0132875,0.131,52184.906
0.16383,0.01275,0.131,52139.645
0.25272998,0.062988609,0.131,52569.758
0.25018999,0.061457854,0.131,52561.621
0.24765,0.059927102,0.131,52553.539
0.24510999,0.058396351,0.131,52545.695
0.24257,0.056865599,0.131,52538.656
0.24002999,0.055334844,0.131,52532.824
0.23749,0.053804092,0.131,52528.609
0.23495001,0.052273341,0.131,52526.48
0.23241,0.050742589,0.131,52527.094
0.22986999,0.049211837,0.131,52531.262
0.22733,0.047681086,0.131,52539.691
