x,y,z,pressure,x-coordinate,y-coordinate,z-coordinate
0.19995052,0.014050936,0.131,56676.77,0.19995052,0.014050935,0.131
0.19646345,0.013000302,0.131,58126.496,0.19646345,0.013000302,0.131
0.25225648,0.042245559,0.131,37243.113,0.25225648,0.042245563,0.131
0.2487694,0.040316738,0.131,38326.0,0.2487694,0.040316734,0.131
0.24528234,0.03838791,0.131,39439.496,0.24528234,0.03838791,0.131
0.24179527,0.036459088,0.131,40584.438,0.24179527,0.036459085,0.131
0.23830822,0.03453026,0.131,41761.355,0.23830822,0.03453026,0.131
0.23482114,0.032601438,0.131,42969.828,0.23482116,0.032601435,0.131
0.23133408,0.030672612,0.131,44209.562,0.23133409,0.030672612,0.131
0.22784702,0.028743785,0.131,45480.902,0.22784702,0.028743785,0.131
0.22435996,0.02681496,0.131,46783.25,0.22435996,0.02681496,0.131
0.22087291,0.024886135,0.131,48115.934,0.22087289,0.024886135,0.131
0.21738583,0.02295731,0.131,49478.168,0.21738583,0.02295731,0.131
0.21389876,0.021106582,0.131,50864.738,0.21389876,0.021106582,0.131
0.21041171,0.019414525,0.131,52272.387,0.21041171,0.019414527,0.131
0.20692465,0.017876294,0.131,53702.902,0.20692465,0.017876294,0.131
0.20343757,0.0164779,0.131,55154.84,0.20343758,0.0164779,0.131
0.19995052,0.015206633,0.131,56620.715,0.19995052,0.015206633,0.131
0.19646345,0.014050936,0.131,58086.633,0.19646345,0.014050935,0.131
0.1929764,0.013000302,0.131,59532.727,0.19297639,0.013000302,0.131
0.25225648,0.044174388,0.131,37094.859,0.25225648,0.044174388,0.131
0.2487694,0.042245559,0.131,38178.641,0.2487694,0.042245563,0.131
0.24528234,0.040316738,0.131,39293.602,0.24528234,0.040316734,0.131
0.24179527,0.03838791,0.131,40440.078,0.24179527,0.03838791,0.131
0.23830822,0.036459088,0.131,41618.449,0.23830822,0.036459085,0.131
0.23482114,0.03453026,0.131,42828.379,0.23482116,0.03453026,0.131
0.23133408,0.032601438,0.131,44069.891,0.23133409,0.032601435,0.131
0.22784702,0.030672612,0.131,45343.57,0.22784702,0.030672612,0.131
0.22435996,0.028743785,0.131,46649.18,0.22435996,0.028743785,0.131
0.22087291,0.02681496,0.131,47986.117,0.22087289,0.02681496,0.131
0.21738583,0.024886135,0.131,49353.273,0.21738583,0.024886135,0.131
0.21389876,0.02295731,0.131,50749.559,0.21389876,0.02295731,0.131
0.21041171,0.021106582,0.131,52170.957,0.21041171,0.021106582,0.131
0.20692465,0.019414525,0.131,53614.578,0.20692465,0.019414527,0.131
0.20343757,0.017876294,0.131,55079.824,0.20343758,0.017876294,0.131
0.19995052,0.0164779,0.131,56560.797,0.19995052,0.0164779,0.131
0.19646345,0.015206633,0.131,58044.438,0.19646345,0.015206633,0.131
0.1929764,0.014050936,0.131,59510.941,0.19297639,0.014050935,0.131
0.18948933,0.013000302,0.131,60935.543,0.18948932,0.013000302,0.131
0.25225648,0.046103209,0.131,36945.219,0.25225648,0.046103213,0.131
0.2487694,0.044174388,0.131,38029.66,0.2487694,0.044174388,0.131
0.24528234,0.042245559,0.131,39146.473,0.24528234,0.042245563,0.131
0.24179527,0.040316738,0.131,40295.18,0.24179527,0.040316734,0.131
0.23830822,0.03838791,0.131,41475.609,0.23830822,0.03838791,0.131
0.23482114,0.036459088,0.131,42687.336,0.23482116,0.036459085,0.131
0.23133408,0.03453026,0.131,43930.762,0.23133409,0.03453026,0.131
0.22784702,0.032601438,0.131,45206.828,0.22784702,0.032601435,0.131
0.22435996,0.030672612,0.131,46515.684,0.22435996,0.030672612,0.131
0.22087291,0.028743785,0.131,47857.07,0.22087289,0.028743785,0.131
0.21738583,0.02681496,0.131,49229.777,0.21738583,0.02681496,0.131
0.21389876,0.024886135,0.131,50632.129,0.21389876,0.024886135,0.131
0.21041171,0.02295731,0.131,52063.875,0.21041171,0.02295731,0.131
0.20692465,0.021106582,0.131,53521.695,0.20692465,0.021106582,0.131
0.20343757,0.019414525,0.131,55001.449,0.20343758,0.019414527,0.131
0.19995052,0.017876294,0.131,56498.48,0.19995052,0.017876294,0.131
0.19646345,0.0164779,0.131,58001.16,0.19646345,0.0164779,0.131
0.1929764,0.015206633,0.131,59490.008,0.19297639,0.015206633,0.131
0.18948933,0.014050936,0.131,60939.094,0.18948932,0.014050935,0.131
0.18600225,0.013000302,0.131,62321.609,0.18600227,0.013000302,0.131
0.25225648,0.048032038,0.131,36796.105,0.25225648,0.048032038,0.131
0.2487694,0.046103209,0.131,37880.52,0.2487694,0.046103213,0.131
0.24528234,0.044174388,0.131,38999.242,0.24528234,0.044174388,0.131
0.24179527,0.042245559,0.131,40150.824,0.24179527,0.042245563,0.131
0.23830822,0.040316738,0.131,41334.27,0.23830822,0.040316734,0.131
0.23482114,0.03838791,0.131,42548.598,0.23482116,0.03838791,0.131
0.23133408,0.036459088,0.131,43794.473,0.23133409,0.036459085,0.131
0.22784702,0.03453026,0.131,45073.238,0.22784702,0.03453026,0.131
0.22435996,0.032601438,0.131,46385.453,0.22435996,0.032601435,0.131
0.22087291,0.030672612,0.131,47731.301,0.22087289,0.030672612,0.131
0.21738583,0.028743785,0.131,49109.91,0.21738583,0.028743785,0.131
0.21389876,0.02681496,0.131,50519.215,0.21389876,0.02681496,0.131
0.21041171,0.024886135,0.131,51958.215,0.21041171,0.024886135,0.131
0.20692465,0.02295731,0.131,53427.215,0.20692465,0.02295731,0.131
0.20343757,0.021106582,0.131,54922.195,0.20343758,0.021106582,0.131
0.19995052,0.019414525,0.131,56436.129,0.19995052,0.019414527,0.131
0.19646345,0.017876294,0.131,57958.727,0.19646345,0.017876294,0.131
0.1929764,0.0164779,0.131,59471.145,0.19297639,0.0164779,0.131
0.18948933,0.015206633,0.131,60946.57,0.18948932,0.015206633,0.131
0.18600225,0.014050936,0.131,62354.039,0.18600227,0.014050935,0.131
0.18251519,0.013000302,0.131,63667.434,0.1825152,0.013000302,0.131
0.25225648,0.049960859,0.131,36650.074,0.25225648,0.049960863,0.131
0.2487694,0.048032038,0.131,37733.281,0.2487694,0.048032038,0.131
0.24528234,0.046103209,0.131,38853.469,0.24528234,0.046103213,0.131
0.24179527,0.044174388,0.131,40008.23,0.24179527,0.044174388,0.131
0.23830822,0.042245559,0.131,41195.613,0.23830822,0.042245563,0.131
0.23482114,0.040316738,0.131,42413.746,0.23482116,0.040316734,0.131
0.23133408,0.03838791,0.131,43663.109,0.23133409,0.03838791,0.131
0.22784702,0.036459088,0.131,44945.32,0.22784702,0.036459085,0.131
0.22435996,0.03453026,0.131,46261.32,0.22435996,0.03453026,0.131
0.22087291,0.032601438,0.131,47611.82,0.22087289,0.032601435,0.131
0.21738583,0.030672612,0.131,48996.457,0.21738583,0.030672612,0.131
0.21389876,0.028743785,0.131,50413.293,0.21389876,0.028743785,0.131
0.21041171,0.02681496,0.131,51860.75,0.21041171,0.02681496,0.131
0.20692465,0.024886135,0.131,53338.469,0.20692465,0.024886135,0.131
0.20343757,0.02295731,0.131,54846.0,0.20343758,0.02295731,0.131
0.19995052,0.021106582,0.131,56376.918,0.19995052,0.021106582,0.131
0.19646345,0.019414525,0.131,57919.539,0.19646345,0.019414527,0.131
0.1929764,0.017876294,0.131,59455.801,0.19297639,0.017876294,0.131
0.18948933,0.0164779,0.131,60957.703,0.18948932,0.0164779,0.131
0.18600225,0.015206633,0.131,62391.242,0.18600227,0.015206633,0.131
