x,y,z,pressure
0.23482114,0.040316738,0.131,43129.16
0.23133408,0.03838791,0.131,44399.215
0.22784702,0.036459088,0.131,45698.414
0.22435996,0.03453026,0.131,47023.734
0.22087291,0.032601438,0.131,48375.191
0.21738583,0.030672612,0.131,49756.543
0.21389876,0.028743785,0.131,51173.828
0.21041171,0.02681496,0.131,52631.578
0.20692465,0.024886135,0.131,54129.984
0.20343757,0.02295731,0.131,55667.672
0.19995052,0.021106582,0.131,57241.426
0.19646345,0.019414525,0.131,58848.367
0.1929764,0.017876294,0.131,60483.785
0.18948933,0.0164779,0.131,62134.594
0.18600225,0.015206633,0.131,63778.793
0.18251519,0.014050936,0.131,65387.625
0.17902812,0.013000302,0.131,66931.984
0.25225648,0.051889684,0.131,37251.785
0.2487694,0.049960859,0.131,38309.352
0.24528234,0.048032038,0.131,39414.043
0.24179527,0.046103209,0.131,40564.57
0.23830822,0.044174388,0.131,41759.145
0.23482114,0.042245559,0.131,42994.41
0.23133408,0.040316738,0.131,44266.156
0.22784702,0.03838791,0.131,45569.863
0.22435996,0.036459088,0.131,46901.781
0.22087291,0.03453026,0.131,48260.926
0.21738583,0.032601438,0.131,49649.438
0.21389876,0.030672612,0.131,51072.324
0.21041171,0.028743785,0.131,52534.781
0.20692465,0.02681496,0.131,54038.535
0.20343757,0.024886135,0.131,55582.355
0.19995052,0.02295731,0.131,57165.551
0.19646345,0.021106582,0.131,58784.562
0.1929764,0.019414525,0.131,60432.578
0.18948933,0.017876294,0.131,62097.594
0.18600225,0.0164779,0.131,63757.785
0.18251519,0.015206633,0.131,65382.66
0.17902812,0.014050936,0.131,66938.922
0.17554107,0.013000302,0.131,68389.648
0.25225648,0.053818509,0.131,37147.293
0.2487694,0.051889684,0.131,38197.086
0.24528234,0.049960859,0.131,39295.02
0.24179527,0.048032038,0.131,40440.082
0.23830822,0.046103209,0.131,41630.844
0.23482114,0.044174388,0.131,42864.527
0.23133408,0.042245559,0.131,44137.312
0.22784702,0.040316738,0.131,45444.852
0.22435996,0.03838791,0.131,46783.285
0.22087291,0.036459088,0.131,48150.539
0.21738583,0.03453026,0.131,49547.297
0.21389876,0.032601438,0.131,50976.812
0.21041171,0.030672612,0.131,52444.219
0.20692465,0.028743785,0.131,53952.98
0.20343757,0.02681496,0.131,55503.125
0.19995052,0.024886135,0.131,57093.266
0.19646345,0.02295731,0.131,58722.004
0.1929764,0.021106582,0.131,60382.738
0.18948933,0.019414525,0.131,62062.48
0.18600225,0.017876294,0.131,63739.375
0.18251519,0.0164779,0.131,65381.418
0.17902812,0.015206633,0.131,66950.867
0.17554107,0.014050936,0.131,68410.234
0.17205401,0.013000302,0.131,69712.219
0.25225648,0.055747338,0.131,37050.242
0.2487694,0.053818509,0.131,38092.062
0.24528234,0.051889684,0.131,39183.113
0.24179527,0.049960859,0.131,40322.5
0.23830822,0.048032038,0.131,41509.098
0.23482114,0.046103209,0.131,42740.609
0.23133408,0.044174388,0.131,44013.824
0.22784702,0.042245559,0.131,45324.785
0.22435996,0.040316738,0.131,46669.473
0.22087291,0.03838791,0.131,48045.223
0.21738583,0.036459088,0.131,49451.137
0.21389876,0.03453026,0.131,50888.676
0.21041171,0.032601438,0.131,52361.875
0.20692465,0.030672612,0.131,53875.547
0.20343757,0.028743785,0.131,55431.75
0.19995052,0.02681496,0.131,57029.379
0.19646345,0.024886135,0.131,58665.766
0.1929764,0.02295731,0.131,60336.887
0.18948933,0.021106582,0.131,62030.734
0.18600225,0.019414525,0.131,63724.633
0.18251519,0.017876294,0.131,65384.824
0.17902812,0.0164779,0.131,66970.461
0.17554107,0.015206633,0.131,68441.234
0.17205401,0.014050936,0.131,69758.984
0.16856694,0.013000302,0.131,70892.195
0.25225648,0.057676159,0.131,36961.004
0.2487694,0.055747338,0.131,37994.629
0.24528234,0.053818509,0.131,39078.641
0.24179527,0.051889684,0.131,40212.238
0.23830822,0.049960859,0.131,41394.434
0.23482114,0.048032038,0.131,42623.359
0.23133408,0.046103209,0.131,43896.41
0.22784702,0.044174388,0.131,45210.32
0.22435996,0.042245559,0.131,46561.145
0.22087291,0.040316738,0.131,47945.535
0.21738583,0.03838791,0.131,49361.422
0.21389876,0.036459088,0.131,50808.336
0.21041171,0.03453026,0.131,52288.828
0.20692465,0.032601438,0.131,53807.953
0.20343757,0.030672612,0.131,55369.91
0.19995052,0.028743785,0.131,56974.965
0.19646345,0.02681496,0.131,58619.738
0.1929764,0.024886135,0.131,60299.34
0.18948933,0.02295731,0.131,62005.086
0.18600225,0.021106582,0.131,63715.414
0.18251519,0.019414525,0.131,65394.723
0.17902812,0.017876294,0.131,66999.445
0.17554107,0.0164779,0.131,68487.469
0.17205401,0.015206633,0.131,69826.219
0.16856694,0.014050936,0.131,70995.836
0.16507988,0.013000302,0.131,71990.922
0.25225648,0.059604988,0.131,36879.848
0.2487694,0.057676159,0.131,37904.992
0.24528234,0.055747338,0.131,38981.793
0.24179527,0.053818509,0.131,40109.441
0.23830822,0.051889684,0.131,41287.074
0.23482114,0.049960859,0.131,42513.09
0.23133408,0.048032038,0.131,43785.473
0.22784702,0.046103209,0.131,45101.719
0.22435996,0.044174388,0.131,46458.375
0.22087291,0.042245559,0.131,47851.578
0.21738583,0.040316738,0.131,49277.953
0.21389876,0.03838791,0.131,50735.508
0.21041171,0.036459088,0.131,52224.992
0.20692465,0.03453026,0.131,53750.859
