shift_over_Lp,shift_physical_m,fit_error,objective_method
0.0020000000000000018,0.0005034981930200004,0.08234069609500234,robust_weighted
0.0030000000000000027,0.0007552472895300007,0.08137252402211272,robust_weighted
0.0040000000000000036,0.0010069963860400008,0.08037284206471794,robust_weighted
0.0050000000000000044,0.0012587454825500012,0.07934102301894802,robust_weighted
0.006000000000000005,0.0015104945790600014,0.07827631796822596,robust_weighted
0.007000000000000006,0.0017622436755700016,0.07717950990143052,robust_weighted
0.008000000000000007,0.0020139927720800015,0.07604810365716164,robust_weighted
0.00899999999999998,0.002265741868589995,0.07488002997876822,robust_weighted
0.009999999999999981,0.002517490965099995,0.07367172400141724,robust_weighted
0.010999999999999982,0.0027692400616099954,0.07242245503654823,robust_weighted
0.011999999999999983,0.003020989158119996,0.07113284945119097,robust_weighted
0.012999999999999984,0.0032727382546299958,0.06980866783902105,robust_weighted
0.013999999999999985,0.003524487351139996,0.06847316687790685,robust_weighted
0.014999999999999986,0.003776236447649996,0.06713898597147507,robust_weighted
0.015999999999999986,0.004027985544159996,0.06581309039101585,robust_weighted
0.016999999999999987,0.0042797346406699965,0.06449851834361663,robust_weighted
0.017999999999999988,0.004531483737179997,0.06319449764938669,robust_weighted
0.01899999999999999,0.004783232833689997,0.06190079665360252,robust_weighted
0.01999999999999999,0.005034981930199997,0.06061657978872175,robust_weighted
0.02099999999999999,0.005286731026709997,0.059341853772597514,robust_weighted
0.021999999999999992,0.005538480123219998,0.058075699255928905,robust_weighted
0.022999999999999993,0.005790229219729998,0.05681536047386431,robust_weighted
0.023999999999999994,0.0060419783162399985,0.05555226342007219,robust_weighted
0.024999999999999994,0.006293727412749998,0.05427717970992783,robust_weighted
0.025999999999999995,0.0065454765092599985,0.052990657798007226,robust_weighted
0.026999999999999996,0.006797225605769999,0.05169569089746384,robust_weighted
0.027999999999999997,0.007048974702279999,0.05040212851608879,robust_weighted
0.028999999999999998,0.007300723798789999,0.049107261570548046,robust_weighted
0.03,0.007552472895299999,0.047801143867796866,robust_weighted
0.031,0.00780422199181,0.04648606321569266,robust_weighted
0.032,0.00805597108832,0.045163999047393,robust_weighted
0.033,0.00830772018483,0.043833246073212796,robust_weighted
0.034,0.00855946928134,0.04249647986888604,robust_weighted
0.035,0.00881121837785,0.04115967821966151,robust_weighted
0.036000000000000004,0.00906296747436,0.03982588877644849,robust_weighted
0.037000000000000005,0.009314716570870001,0.038500226352273126,robust_weighted
0.038000000000000006,0.009566465667380002,0.03719618296697214,robust_weighted
0.03900000000000001,0.009818214763890002,0.03591118623048372,robust_weighted
0.03999999999999998,0.010069963860399994,0.03463397349874028,robust_weighted
0.04099999999999998,0.010321712956909994,0.03336029560195162,robust_weighted
0.04199999999999998,0.010573462053419995,0.03208539297788065,robust_weighted
0.04299999999999998,0.010825211149929995,0.030810227873024128,robust_weighted
0.043999999999999984,0.011076960246439995,0.02953920515881871,robust_weighted
0.044999999999999984,0.011328709342949996,0.028279428130912762,robust_weighted
0.045999999999999985,0.011580458439459996,0.027036608227093247,robust_weighted
0.046999999999999986,0.011832207535969997,0.025817034386632628,robust_weighted
0.04799999999999999,0.012083956632479997,0.024627457747970486,robust_weighted
0.04899999999999999,0.012335705728989996,0.0234860203631396,robust_weighted
0.04999999999999999,0.012587454825499996,0.02241347516945506,robust_weighted
0.05099999999999999,0.012839203922009997,0.021412183740568195,robust_weighted
0.05199999999999999,0.013090953018519997,0.02047868942979054,robust_weighted
0.05299999999999999,0.013342702115029997,0.019607546177747525,robust_weighted
0.05399999999999999,0.013594451211539998,0.018803603458685255,robust_weighted
0.05499999999999999,0.013846200308049998,0.01807403164464492,robust_weighted
0.055999999999999994,0.014097949404559999,0.01742645203336873,robust_weighted
0.056999999999999995,0.014349698501069999,0.01686741480156655,robust_weighted
0.057999999999999996,0.014601447597579998,0.016397866375624074,robust_weighted
0.059,0.014853196694089998,0.01601114897630449,robust_weighted
0.06,0.015104945790599998,0.01570184728024734,robust_weighted
0.061,0.015356694887109999,0.015472684195402521,robust_weighted
0.062,0.01560844398362,0.01532486428403291,robust_weighted
0.063,0.015860193080129998,0.01525226383365074,robust_weighted
0.064,0.01611194217664,0.015241970815097709,robust_weighted
0.065,0.01636369127315,0.015288204915937126,robust_weighted
0.066,0.01661544036966,0.01537955080110205,robust_weighted
0.067,0.01686718946617,0.015491887280635858,robust_weighted
0.068,0.01711893856268,0.015594123237268338,robust_weighted
0.069,0.01737068765919,0.015685108668867555,robust_weighted
0.07,0.0176224367557,0.0157750621955822,robust_weighted
0.07100000000000001,0.01787418585221,0.015871225519240747,robust_weighted
0.07200000000000001,0.01812593494872,0.01597535935624949,robust_weighted
0.07300000000000001,0.018377684045230002,0.016087399757512274,robust_weighted
0.07400000000000001,0.018629433141740002,0.01620720871439604,robust_weighted
0.07500000000000001,0.018881182238250003,0.016334363160256833,robust_weighted
0.07600000000000001,0.019132931334760003,0.016468734799020956,robust_weighted
0.07700000000000001,0.019384680431270004,0.016609990333009847,robust_weighted
0.07800000000000001,0.019636429527780004,0.016757668833266244,robust_weighted
0.07900000000000001,0.019888178624290005,0.016910254055796544,robust_weighted
0.08000000000000002,0.020139927720800005,0.017066331578393726,robust_weighted
0.08100000000000002,0.020391676817310002,0.017225666695038826,robust_weighted
0.08200000000000002,0.020643425913820002,0.017388107154515452,robust_weighted
0.08300000000000002,0.020895175010330003,0.017553956232658787,robust_weighted
0.08400000000000002,0.021146924106840003,0.01772319682652852,robust_weighted
0.08500000000000002,0.021398673203350004,0.017895477395789974,robust_weighted
0.08600000000000002,0.021650422299860004,0.018070637904841994,robust_weighted
0.08700000000000002,0.021902171396370004,0.01824913978460075,robust_weighted
0.08800000000000002,0.022153920492880005,0.018432000284464494,robust_weighted
0.08899999999999997,0.02240566958938999,0.018619822962022053,robust_weighted
0.08999999999999997,0.02265741868589999,0.01881301623533528,robust_weighted
0.09099999999999997,0.022909167782409992,0.0190115543354676,robust_weighted
0.09199999999999997,0.023160916878919992,0.019215300733883552,robust_weighted
0.09299999999999997,0.023412665975429993,0.01942385560940471,robust_weighted
0.09399999999999997,0.023664415071939993,0.019636941551988384,robust_weighted
0.09499999999999997,0.023916164168449994,0.01985451540896213,robust_weighted
0.09599999999999997,0.024167913264959994,0.020076668904468464,robust_weighted
0.09699999999999998,0.024419662361469995,0.02030407213947119,robust_weighted
0.09799999999999998,0.02467141145797999,0.020536685039070433,robust_weighted
0.09899999999999998,0.024923160554489992,0.020774640342414004,robust_weighted
0.09999999999999998,0.025174909650999992,0.021018215321801075,robust_weighted
0.10099999999999998,0.025426658747509993,0.021267899445659894,robust_weighted
0.10199999999999998,0.025678407844019993,0.021524377938722496,robust_weighted
0.10299999999999998,0.025930156940529994,0.02178637469109196,robust_weighted
